Time (s),W,X,Y,Z
13.989721775,0.9689448,-0.004988064,-0.01882421,0.2395713
14.009468079,0.969094,-0.004909762,-0.01884547,0.2389673
14.029213905,0.9691474,-0.005105697,-0.01916868,0.2387206
14.048955917,0.969278,-0.005306202,-0.01933599,0.2381718
14.068701744,0.969473,-0.005538215,-0.01948906,0.2373588
14.088447571,0.969647,-0.005662207,-0.0193329,0.236657
14.108194351,0.969655,-0.005903677,-0.0191059,0.236637
14.127940178,0.9696608,-0.005847306,-0.01894791,0.2366271
14.147686481,0.9697829,-0.005586375,-0.01902144,0.2361265
14.169900417,0.9698904,-0.00573589,-0.01894044,0.2356874
14.189646244,0.9699283,-0.005835452,-0.01912587,0.2355143
14.209392071,0.9700899,-0.005428587,-0.01908021,0.234861
14.229138374,0.970282,-0.005094554,-0.01910347,0.2340724
14.248879909,0.9705215,-0.004636757,-0.01897141,0.2330974
14.268626690,0.9706685,-0.004766734,-0.01932547,0.2324528
14.288372516,0.9707805,-0.005277861,-0.01968999,0.2319423
14.308118820,0.9710158,-0.005062178,-0.01977636,0.230953
14.327864647,0.9712198,-0.005041274,-0.01977591,0.2300939
14.347610473,0.9714099,-0.00507383,-0.01946201,0.2293161
14.369824409,0.9715183,-0.005352499,-0.01911412,0.2288795
14.389570713,0.9714597,-0.005652176,-0.0193997,0.2290971
14.409317016,0.9714094,-0.005806596,-0.01962842,0.2292865
14.429063320,0.9715135,-0.005401751,-0.01953962,0.228863
14.448805332,0.971611,-0.00525348,-0.01913018,0.228487
14.468551159,0.9716848,-0.004975554,-0.0191211,0.2281802
14.488296986,0.9717148,-0.004980064,-0.019477,0.2280217
14.508042812,0.971824,-0.004890538,-0.01972769,0.2275364
14.527789116,0.9719958,-0.004654716,-0.01976778,0.2268027
14.547534943,0.9721746,-0.00428304,-0.01987521,0.2260326
14.569749355,0.9723232,-0.004220324,-0.01983825,0.2253973
14.589495659,0.9724156,-0.004389185,-0.01998275,0.2249825
14.609241486,0.9724579,-0.004817058,-0.0201689,0.2247742
14.628987312,0.9725686,-0.004777561,-0.0202625,0.224287
14.648729324,0.9727293,-0.00459575,-0.0198549,0.2236292
