Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.217145920,-0.1877474,0.1439242,-0.4925934,-0.03987448,-0.01137481,0.9909419,21.13374,13.31009,-40.72496,1028.318
0.219614506,0.3048279,-0.5616101,-0.2474861,-0.0378104,-0.01030526,0.9956973,21.13374,13.31009,-40.72496,1028.318
0.222082615,0.1200385,-0.3850614,-0.3086465,-0.03237851,0.005218255,1.025331,21.13374,13.31009,-40.72496,1028.316
0.224550724,-0.2493864,0.2617579,-0.4922639,-0.04032521,-0.002095612,0.9976522,21.13374,13.31009,-40.72496,1028.316
0.227019310,-0.06461446,0.02651262,-0.5533474,-0.05395416,-0.009533437,0.996103,21.13374,13.31009,-40.72496,1028.316
0.229487419,0.05853491,-0.03228647,-0.4919354,-0.04382964,0.002682758,0.9972402,21.13374,13.31009,-40.72496,1028.316
0.231955528,-0.003048018,0.08530521,-0.3693046,-0.03425062,0.0003753267,1.025879,21.13374,13.31009,-40.72496,1028.316
0.234419823,-0.003047064,0.08527841,-0.4304267,-0.03729359,-0.006555375,1.017804,21.13374,13.31009,-40.72496,1028.316
0.236887932,0.1816475,-0.0323299,-0.3078153,-0.04800838,-0.003074447,1.002663,21.13374,13.31009,-40.72496,1028.316
0.239356041,0.05846135,0.02647102,-0.3077185,-0.04293986,0.002463708,1.012617,21.13374,13.31009,-40.72496,1028.316
0.241824627,-0.06468609,-0.1499096,-0.2463837,-0.03079201,-0.005234439,1.005123,21.13374,13.31009,-40.72496,1028.316
0.244292736,0.1815924,-0.03228095,-0.3075445,-0.03057773,-0.001195176,1.015687,21.13374,13.31009,-40.72496,1028.316
0.246760845,0.1199708,0.08531072,-0.3074479,-0.03729295,0.00726496,1.00668,21.13374,13.31009,-40.72496,1028.316
0.249229431,-0.06476049,-0.09108835,-0.184875,-0.03908547,-0.003861789,1.006771,21.13374,13.31009,-40.72496,1028.316
0.251697540,0.1199535,-0.1498505,-0.06234066,-0.03711647,-0.001392331,1.008636,21.13374,13.31009,-40.72496,1028.316
0.254165172,-0.003213301,0.02656883,-0.1235592,-0.0395695,0.00344612,1.011084,20.76009,13.30546,-40.72247,1028.316
0.256633758,-0.1263414,0.2617235,-0.1847585,-0.04445177,0.0004667509,1.009776,20.76009,13.30546,-40.72247,1028.316
0.259101868,-0.06473713,0.2028505,-0.1847005,-0.04717174,-0.0002306625,0.9987803,20.76009,13.30546,-40.72247,1028.316
0.261569977,0.05841228,-0.2675393,-0.1846424,-0.04055776,0.005864251,1.012062,20.76009,13.30546,-40.72247,1028.319
0.264038563,-0.1262997,0.1440801,-0.06210819,-0.03694047,-0.003226649,1.014413,20.76009,13.30546,-40.72247,1028.319
0.266506672,-0.12626,0.2616163,-0.1845649,-0.04131301,-0.004236914,1.015009,20.76009,13.30546,-40.72247,1028.319
0.268974781,0.05847329,0.2027434,0.06044554,-0.04314366,-0.0005939435,1.003011,20.76009,13.30546,-40.72247,1028.319
0.271443367,0.1200195,0.1438889,0.06042656,-0.03730478,0.0004339293,1.002377,20.76009,13.30546,-40.72247,1028.319
