Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.227839470,-0.6681997,-1.802066,0.5936324,0.6702354,-0.3074098,-0.7060673,-34.46458,23.84153,15.14752,1029.034
0.230303287,-0.175332,-1.802066,0.4104146,0.6495358,-0.2948273,-0.7067069,-34.46458,23.84153,15.14752,1029.034
0.232767582,-0.1137236,-2.097431,0.1661242,0.6563862,-0.2909352,-0.6980863,-34.46458,23.84153,15.14752,1029.034
0.235231399,0.009493358,-2.097431,-0.0170936,0.6656868,-0.2995596,-0.7131364,-34.46458,23.84153,15.14752,1029.034
0.237695217,-0.1137236,-2.156504,-0.261384,0.6701288,-0.307769,-0.7228625,-34.46458,23.84153,15.14752,1029.034
0.240159511,0.1943187,-2.274651,-0.1392388,0.6800254,-0.3136227,-0.7162968,-34.46458,23.84153,15.14752,1029.034
0.242623329,0.2559272,-1.979285,0.1661242,0.6651044,-0.2874113,-0.7033992,-34.46458,23.84153,15.14752,1029.034
0.245087147,-0.2369405,-2.156504,0.1050516,0.6608359,-0.2943359,-0.6972033,-34.46458,23.84153,15.14752,1029.034
0.247551441,-0.1137236,-2.274651,0.2271968,0.6553451,-0.2870148,-0.6999522,-34.46458,23.84153,15.14752,1029.034
0.250015259,-0.5449828,-2.215578,0.043979,0.6695877,-0.298077,-0.711714,-34.46458,23.84153,15.14752,1029.034
0.252479076,-0.5449828,-2.156504,0.2882694,0.6735415,-0.3043633,-0.717576,-34.46458,23.84153,15.14752,1029.034
0.254943371,-0.4833744,-2.333724,0.2882694,0.6700686,-0.3033639,-0.7232922,-34.46458,23.84153,15.14752,1029.038
0.257407188,-0.175332,-2.215578,0.2271968,0.6656961,-0.3010156,-0.7145922,-35.13578,23.85241,15.52599,1029.038
0.259869098,0.009493358,-2.156504,0.1050516,0.653344,-0.2898659,-0.7124412,-35.13578,23.85241,15.52599,1029.038
0.262331009,0.07110181,-2.156504,-0.1392388,0.6574071,-0.2977231,-0.7048882,-35.13578,23.85241,15.52599,1029.038
0.264795303,0.1327103,-2.392797,-0.261384,0.6602151,-0.2932239,-0.7149371,-35.13578,23.85241,15.52599,1029.038
0.267259121,0.009493358,-2.510943,-0.4446018,0.6769657,-0.3062701,-0.7209854,-35.13578,23.85241,15.52599,1029.038
0.269722938,0.3175357,-2.038358,-0.3224566,0.6720469,-0.3014502,-0.7160911,-35.13578,23.85241,15.52599,1029.038
0.272187233,0.2559272,-2.45187,-0.261384,0.6676772,-0.3005503,-0.7098063,-35.13578,23.85241,15.52599,1029.038
0.274651050,0.1943187,-2.510943,-0.0781662,0.6592922,-0.2942569,-0.7087037,-35.13578,23.85241,15.52599,1029.038
0.277114868,-0.1137236,-2.510943,-0.0781662,0.6573377,-0.2918621,-0.7038621,-35.13578,23.85241,15.52599,1029.038
