Time (s),W,X,Y,Z
3.591510296,-0.374121,-0.3590681,-0.8529527,0.01424369
3.611221790,-0.3745431,-0.3590625,-0.8527719,0.01411939
3.630933762,-0.3749233,-0.3590047,-0.8526307,0.01402427
3.650645733,-0.3753011,-0.358863,-0.852526,0.01391876
3.670353413,-0.3756924,-0.358758,-0.8524005,0.0137405
3.690065384,-0.3760382,-0.3587932,-0.8522369,0.01352384
3.709777355,-0.3763368,-0.3589107,-0.8520594,0.01328218
3.729488850,-0.3765919,-0.3590461,-0.8518931,0.01304772
3.751665115,-0.3768106,-0.3591245,-0.8517658,0.01289741
3.771377563,-0.3769284,-0.3591938,-0.8516854,0.01282641
3.791089058,-0.3769883,-0.3592336,-0.8516425,0.01279944
3.810801029,-0.3770026,-0.3592848,-0.8516151,0.01276894
3.830513000,-0.376931,-0.3593032,-0.851638,0.01282533
3.850224972,-0.3768218,-0.3593453,-0.8516686,0.01283543
3.869932651,-0.37671,-0.3594045,-0.8516935,0.01280954
3.889644623,-0.3765493,-0.3594244,-0.8517556,0.01284514
3.911820412,-0.3763009,-0.3594267,-0.8518632,0.01291496
3.931532383,-0.3760383,-0.3594205,-0.8519803,0.01301915
3.951243877,-0.3757729,-0.3594404,-0.8520873,0.01311788
3.970956802,-0.3754897,-0.3594737,-0.8521968,0.01320945
3.990668297,-0.375188,-0.3595401,-0.8522997,0.01333441
4.010380268,-0.374873,-0.3596322,-0.8523978,0.01343734
4.030092239,-0.3745469,-0.359703,-0.8525097,0.01353745
4.049804210,-0.3742561,-0.3597578,-0.8526136,0.01357741
4.069511890,-0.373913,-0.3598088,-0.8527416,0.01365068
4.091690540,-0.3734691,-0.3597999,-0.8529369,0.01383205
4.111399650,-0.373068,-0.3597334,-0.8531368,0.01404661
4.131111622,-0.3726298,-0.359688,-0.8533441,0.01425026
4.150823116,-0.372196,-0.3598196,-0.8534761,0.0143641
4.170536041,-0.3717479,-0.359926,-0.8536243,0.01448614
4.190247536,-0.3712425,-0.3599798,-0.8538186,0.01466269
4.209959507,-0.3707424,-0.3600144,-0.8540189,0.0148053
4.229671478,-0.3702152,-0.3600431,-0.8542327,0.01496154
4.251847267,-0.3695658,-0.3600299,-0.854515,0.01521767
4.271554947,-0.368964,-0.3600336,-0.8547691,0.01545685
4.291266918,-0.3683167,-0.3599431,-0.8550809,0.01574798
4.310978889,-0.3676515,-0.3597684,-0.8554336,0.01612927
4.330691337,-0.3669646,-0.3595646,-0.855807,0.01650697
4.350403309,-0.366289,-0.3593405,-0.8561827,0.01689728
4.370114803,-0.3656837,-0.3591066,-0.8565326,0.01725031
4.389826774,-0.3651111,-0.3587921,-0.8569012,0.01761045
4.409538746,-0.3646002,-0.3584281,-0.8572634,0.01797585
