Time (s),W,X,Y,Z
4.315649032,0.933231,-0.1716981,-0.008347891,0.310093
4.335502624,0.9332842,-0.1713614,-0.00743015,0.3101426
4.355356216,0.9333612,-0.1709902,-0.006512762,0.3101361
4.375209331,0.9334236,-0.170645,-0.0055787,0.3101566
4.395062923,0.933504,-0.1702879,-0.004657196,0.3101263
4.414921760,0.9335757,-0.1699318,-0.003738432,0.3101184
4.434770107,0.9336295,-0.169583,-0.002863998,0.3101563
4.454623222,0.9336906,-0.1692566,-0.002066185,0.3101574
4.474477291,0.9337636,-0.1689488,-0.001355112,0.3101092
4.494330406,0.9338285,-0.1686862,-0.0007771586,0.3100585
4.514184475,0.9338703,-0.168478,-0.000330538,0.3100468
4.534037590,0.9339013,-0.1683068,1.281699E-05,0.3100465
4.553891659,0.9339282,-0.1681733,0.0002261572,0.3100377
4.573744774,0.9339779,-0.1680825,0.000306902,0.3099376
4.593597889,0.9340199,-0.1680375,0.0002610201,0.3098352
4.613451958,0.9340497,-0.1680574,8.291451E-05,0.3097346
4.633305073,0.9340791,-0.1681181,-0.0002223321,0.309613
4.655640125,0.9341078,-0.1682156,-0.000696092,0.3094725
4.675494194,0.934081,-0.1683403,-0.001183514,0.3094844
4.695347309,0.9340577,-0.1684834,-0.00174443,0.3094741
4.715201378,0.9340544,-0.1686754,-0.002390259,0.3093752
4.735054493,0.9340639,-0.1689077,-0.003127117,0.3092135
4.754908562,0.9340733,-0.1691334,-0.003941983,0.3090518
4.774761677,0.9340901,-0.1694151,-0.004823276,0.3088342
4.794615269,0.9340923,-0.1697342,-0.005723614,0.308637
4.814468861,0.9340491,-0.170078,-0.006677226,0.3085594
4.834322453,0.933963,-0.1704356,-0.007667024,0.3085998
4.854176044,0.9338608,-0.1708159,-0.008653047,0.3086727
4.874029636,0.9337539,-0.1711745,-0.009621332,0.3087688
4.893882751,0.9336206,-0.1715687,-0.01056109,0.3089225
4.913736343,0.9334899,-0.1719729,-0.01145098,0.3090607
4.933589935,0.9333698,-0.1723711,-0.01224867,0.3091709
4.953446388,0.9332429,-0.1727249,-0.01290368,0.3093301
4.973297119,0.933115,-0.1730255,-0.01339127,0.3095268
4.995632172,0.9329863,-0.1732901,-0.01370097,0.3097533
5.015485764,0.9329225,-0.1734423,-0.01377341,0.3098568
5.035339355,0.9329029,-0.1735161,-0.01375135,0.3098758
5.055193901,0.9329273,-0.173474,-0.01361118,0.3098319
5.075046539,0.9330819,-0.1731903,-0.01326597,0.3095399
5.094899654,0.9334444,-0.172753,-0.01276719,0.3087111
5.114753723,0.9340227,-0.1722369,-0.01235227,0.3072639
5.134606838,0.9349274,-0.171614,-0.0127361,0.3048361
5.154460907,0.9360473,-0.1713151,-0.01457718,0.3014659
5.174314022,0.937346,-0.1715368,-0.01855839,0.2970536
5.214021206,0.9367449,-0.1763055,-0.03541432,0.2946168
5.233874798,0.9351782,-0.1803346,-0.04106273,0.2964164
5.253728390,0.9347302,-0.1820446,-0.04410067,0.2963479
5.273581981,0.9352999,-0.1821894,-0.0466519,0.2940618
5.293435573,0.9359445,-0.1824734,-0.05096486,0.2911042
5.313289165,0.9359727,-0.1840158,-0.05786933,0.288742
5.335624218,0.9351611,-0.1868004,-0.06776243,0.287429
5.355477810,0.9349549,-0.1880878,-0.07696342,0.2849326
5.375331402,0.9343634,-0.1904625,-0.08713954,0.2823532
