Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.367288589,-0.3486967,-4.834865,0.5750765,-0.187953,0.3247814,0.9491549,24.48427,-0.5822827,-40.90713,1028.926
0.369770527,-0.4719049,-4.834865,0.5140669,-0.1879423,0.3170161,0.9524512,24.48427,-0.5822827,-40.90713,1028.926
0.372251987,-0.3486967,-5.013227,0.4530574,-0.1874561,0.3184688,0.9515028,24.48427,-0.5822827,-40.90713,1028.926
0.374733925,-0.4103008,-4.953773,0.3920478,-0.1869655,0.3179895,0.9529384,24.48427,-0.5822827,-40.90713,1028.926
0.377215385,-0.04067625,-5.013227,0.3310382,-0.1874584,0.3223672,0.9524946,24.48427,-0.5822827,-40.90713,1028.926
0.379697323,-0.2254885,-5.013227,0.2700286,-0.1835459,0.3233558,0.9568195,24.48427,-0.5822827,-40.90713,1028.926
0.382178306,-0.1638844,-4.953773,0.2700286,-0.1815962,0.3272375,0.9558897,24.48427,-0.5822827,-40.90713,1028.926
0.384660721,-0.2254885,-4.894319,0.2700286,-0.1850109,0.3194527,0.9543889,24.48427,-0.5822827,-40.90713,1028.926
0.387141704,-0.2254885,-4.953773,0.3920478,-0.1859873,0.3179927,0.9538977,24.48427,-0.5822827,-40.90713,1028.926
0.389627933,-0.2254885,-4.894319,0.3310382,-0.1845132,0.3141219,0.9581848,24.48427,-0.5822827,-40.90713,1028.926
0.392105102,-0.1638844,-4.894319,0.4530574,-0.1835496,0.3199153,0.9510314,24.48427,-0.5822827,-40.90713,1028.926
0.394587040,-0.2254885,-4.894319,0.5140669,-0.1855101,0.3233094,0.9481808,24.84854,-0.5906861,-41.30068,1028.926
0.397068500,-0.2870926,-4.953773,0.4530574,-0.1830674,0.3233029,0.9481788,24.84854,-0.5906861,-41.30068,1028.927
0.399550438,-0.4103008,-4.953773,0.4530574,-0.1781735,0.3199125,0.952947,24.84854,-0.5906861,-41.30068,1028.927
0.402031898,-0.2870926,-4.953773,0.6360862,-0.1810925,0.317539,0.9615699,24.84854,-0.5906861,-41.30068,1028.927
0.404513836,-0.3486967,-5.013227,0.5140669,-0.1830518,0.3189839,0.9582233,24.84854,-0.5906861,-41.30068,1028.927
0.406995773,-0.1638844,-4.953773,0.3920478,-0.1771966,0.3189309,0.9519781,24.84854,-0.5906861,-41.30068,1028.927
0.409477234,-0.1638844,-4.953773,0.3920478,-0.1791584,0.3237848,0.9491396,24.84854,-0.5906861,-41.30068,1028.927
0.411959171,-0.2254885,-4.894319,0.2700286,-0.1825821,0.3218189,0.9443263,24.84854,-0.5906861,-41.30068,1028.927
0.414440155,-0.4719049,-4.834865,0.209019,-0.1840294,0.3131187,0.9533762,24.84854,-0.5906861,-41.30068,1028.927
0.416922092,-0.4103008,-4.894319,0.209019,-0.1810967,0.3106752,0.9528738,24.84854,-0.5906861,-41.30068,1028.927
0.419403553,-0.2254885,-4.894319,0.4530574,-0.1811068,0.3145334,0.9471455,24.84854,-0.5906861,-41.30068,1028.927
0.421885490,-0.1022803,-4.834865,0.5140669,-0.1815906,0.3174915,0.95341,24.84854,-0.5906861,-41.30068,1028.927
0.424366951,-0.2254885,-4.953773,0.4530574,-0.180128,0.3164943,0.9500407,24.84854,-0.5906861,-41.30068,1028.927
0.426849365,-0.2870926,-4.894319,0.5140669,-0.17866,0.3150364,0.9509875,24.84854,-0.5906861,-41.30068,1028.927
0.429330349,-0.2254885,-4.715958,0.4530574,-0.1796391,0.3179614,0.9514922,24.84854,-0.5906861,-41.30068,1028.927
0.431812286,-0.1022803,-4.775411,0.6970958,-0.1757181,0.3150832,0.9601055,24.84854,-0.5906861,-41.30068,1028.927
0.434294224,-0.2254885,-4.775411,0.6360862,-0.1713315,0.3223501,0.9568013,24.84854,-0.5906861,-41.30068,1028.927
0.436775684,-0.2254885,-4.834865,0.5140669,-0.1728083,0.3183868,0.9442903,24.84854,-0.5906861,-41.30068,1028.929
0.439257622,-0.4103008,-4.775411,0.4530574,-0.173776,0.3218586,0.9548793,24.84854,-0.5906861,-41.30068,1028.929
0.441738605,-0.3486967,-4.656504,0.6360862,-0.1752401,0.3174717,0.9529247,24.84854,-0.5906861,-41.30068,1028.929
0.444221020,-0.2870926,-4.715958,0.6970958,-0.1728026,0.31695,0.9481184,24.85837,-2.838697,-41.27954,1028.929
0.446702003,-0.1638844,-4.59705,0.5750765,-0.173279,0.3121256,0.9547993,24.85837,-2.838697,-41.27954,1028.929
