Time (s),X (g),Y (g),Z (g)
29.356193065,-0.001092849,0.003051549,0.01004534
29.358675003,0.06354231,0.0776641,0.002298411
29.361156463,-0.0005330627,-0.001974246,-0.00352315
29.363643169,0.01712335,-0.02026213,0.01096034
29.366119385,0.06527782,0.07595438,-0.03524872
29.368601799,0.03589778,0.04955572,-0.06431326
29.371083736,0.01609274,-0.006349768,-0.04461776
29.373564720,0.03858549,0.01711895,-0.04457284
29.376046657,0.04094831,0.009004197,-0.01524812
29.378529072,-0.003429386,-0.01606107,0.01909436
29.381010055,0.04647563,-0.01165919,0.01947542
29.383491993,0.003213014,0.01981023,0.02924619
29.385973930,0.02791667,-0.02294794,-0.05377536
29.388460636,0.03387549,0.07255804,0.005833393
29.390937328,0.02283236,-0.02309421,-0.102856
29.393419266,-0.01300408,0.04036827,-0.03503888
29.395900726,0.04288035,-0.04284871,-0.06067364
29.398382664,-0.008218511,-0.01670864,-0.001791147
29.400864124,0.007138383,-0.02465722,-0.04924049
29.403346062,0.04507897,0.03374334,0.01930375
29.405827999,0.003634691,-0.03168996,-0.09333197
29.408309460,0.08824295,0.06117183,-0.001082804
29.410791397,0.01407535,0.002021836,-0.04261415
29.413273334,0.03315266,0.008565907,-0.03498679
29.415754795,0.03621616,0.01649016,0.006287688
29.418236732,-0.03332222,-0.04826131,-0.02643079
29.420718670,0.04124319,0.02504754,0.02803326
29.423200130,0.02983941,0.02820125,-0.05510963
29.425682068,0.03618101,0.04009136,-0.03883655
29.428163051,0.02137171,-0.008494512,0.01205142
29.433127403,0.03259417,0.05226801,0.0280576
29.435608387,0.01571952,-0.03570038,0.001523156
29.438090324,-0.01921246,0.008017056,-0.02600574
29.440572739,0.07399364,0.04075919,-0.02584296
29.443053722,-0.006740469,-0.001615327,0.01192756
29.445535660,0.02648975,-0.0527787,-0.09687467
29.448017597,0.02684518,0.1159096,-0.03409585
29.450499058,0.03667703,-0.04997198,-0.06721765
29.452980995,-0.01554923,-0.03755307,-0.01249009
29.455462456,0.05835256,0.04594618,-0.01802704
29.457944393,0.03571592,-0.01486366,0.001252767
29.460426330,-0.0166074,-0.03449872,-0.01922519
29.462907791,0.0733166,0.04275964,-0.04474524
29.465389728,0.009714326,-0.005681655,-0.02175127
29.467871666,0.002763495,-0.05687529,-0.02452931
29.470353126,0.02911099,0.02665066,0.02516781
29.472835064,0.01121439,-0.04348478,0.005851444
29.475317001,-0.01815516,-0.006406398,0.001001785
29.477798462,0.01212576,0.0355462,-0.02120037
29.480280399,0.006461814,-0.01260813,-0.01220971
29.482761383,0.01237286,0.006020413,0.01030292
29.485243797,0.01848108,0.005278014,-0.08811527
29.487729549,0.01682049,0.03642916,-0.02379547
29.490206718,-0.01594894,-0.05537698,-0.0002053455
29.492688656,-0.006571534,0.02101048,0.01243726
29.495171070,0.02669716,0.03742511,-0.0488767
29.497652054,-0.02271001,0.02876289,0.009733438
29.500133991,0.008657032,-0.004863928,0.03421228
29.502615929,-0.0230394,0.01888791,-0.01190926
29.505097389,0.01536309,0.03442513,-0.02813417
29.507579327,-0.04798178,-0.01724331,0.009225092
29.510060787,-0.03015669,-0.05217577,-0.04724435
29.512542724,-0.008533385,0.06702422,-0.01418794
29.515024662,-0.0135244,-0.05399773,-0.03115285
29.517506122,-0.01649606,0.02448066,-0.02403011
29.519988060,0.05744798,0.07954261,0.03146364
29.522469997,-0.0001104055,-0.05360683,0.04960993
29.524951458,-0.01450188,0.008682922,-0.04710235
29.527433395,0.05871317,0.1203973,-0.08421062
29.529915333,-0.03106455,-0.06308052,-0.03316436
29.532396793,-0.002583208,-0.05738961,0.02382629
29.534878731,0.009532763,0.006273425,-0.0657087
29.537360668,0.01162883,0.05737476,-0.03625938
29.539842129,0.01682742,-0.04967089,-0.02672451
29.542324066,0.005061037,0.01111979,0.0003159204
29.544805050,0.02600627,0.02303438,-0.009291576
29.547287464,-0.01058222,-0.00667472,0.003322417
29.549769401,0.003960162,-0.001934651,-0.04873527
29.552250385,0.01047259,0.004971436,-0.01567019
29.554732323,-0.03271426,-0.0526782,0.00907377
29.557214737,0.03113333,0.01004663,0.01028771
29.559695721,0.00823152,0.007542232,-0.0265875
29.562177658,0.01768603,0.01341488,-0.05345065
29.564659595,0.03281765,0.01799694,-0.03942659
29.567141056,-0.01234874,0.01857433,-0.07169526
29.569622993,0.05579093,0.04607254,-0.01955128
29.572104454,-0.04019143,-0.06638442,0.02224628
29.574586391,0.03522623,0.003034384,-0.04047799
29.577068329,0.02237213,0.03858614,0.01890822
29.579549789,-0.03872067,-0.08609364,0.04225598
29.582031727,0.02847674,0.03818455,-0.03315775
29.584513664,-0.002887797,0.06873916,-0.02803828
29.586995125,0.01980186,-0.04934464,-0.02723948
